IsActive,1,2,3,4,5,6,7,8
0,Animals & Pet Supplies,Pet Supplies,Small Animal Supplies,Small Animal Bedding,,,,
0,Animals & Pet Supplies,Pet Supplies,Small Animal Supplies,Small Animal Food,,,,
0,Animals & Pet Supplies,Pet Supplies,Small Animal Supplies,Small Animal Habitat Accessories,,,,
0,Animals & Pet Supplies,Pet Supplies,Small Animal Supplies,Small Animal Habitats & Cages,,,,
0,Animals & Pet Supplies,Pet Supplies,Small Animal Supplies,Small Animal Treats,,,,
1,Animals & Pet Supplies,Pet Supplies,Vehicle Pet Barriers,,,,,
1,Arts & Entertainment,,,,,,,
0,Arts & Entertainment,Event Tickets,,,,,,
1,Arts & Entertainment,Hobbies & Creative Arts,,,,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,,,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Candle Making Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Drawing & Painting Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Fabric Repair Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Incense Making Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Jewellery Making Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Mosaic Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Needlecraft Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Scrapbooking & Stamping Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Craft Kits,Toy Craft Kits,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,Cardstock & Scrapbooking Paper,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,Construction Paper,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,Craft Foil,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,Drawing & Painting Paper,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,Origami Paper,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,Transfer Paper,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Art & Craft Paper,Vellum Paper,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Fasteners & Closures,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Fasteners & Closures,Buttons & Snaps,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Fasteners & Closures,Clasps & Hooks,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Fasteners & Closures,Eyelets & Grommets,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Fasteners & Closures,Hook & Loop Fasteners,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Fasteners & Closures,Zip Pulls,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Fasteners & Closures,Zips,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,Art & Craft Paint,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,Art Fixatives,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,Art Ink,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,Ceramic & Pottery Glazes,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,Craft Dyes,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,Ink Pads,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Paint, Ink & Glaze,Paint Mediums,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Shapes & Bases,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Shapes & Bases,Craft Foam & Polystyrene Foam,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Shapes & Bases,Craft Wood & Shapes,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Shapes & Bases,Papier Mache Shapes,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Craft Shapes & Bases,Wreath & Floral Frames,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Adhesives & Magnets,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Adhesives & Magnets,Craft & Office Glue,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Adhesives & Magnets,Craft Magnets,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Adhesives & Magnets,Decorative Tape,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Adhesives & Magnets,Floral Tape,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Adhesives & Magnets,Fusible Tape,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Fibres,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Fibres,Jewellery & Beading Cord,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Fibres,Thread & Floss,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Fibres,Unspun Fibre,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Fibres,Yarn,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Wire,,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Wire,Craft Pipe Cleaners,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Wire,Floral Wire,,
1,Arts & Entertainment,Hobbies & Creative Arts,Arts & Crafts,Art & Crafting Materials,Crafting Wire,Jewellery & Beading Wire,,
